"rk","player","pos","age","tm","g","gs","mp","fg","fga","fg_percent","x3p","x3pa","x3p_percent","x2p","x2pa","x2p_percent","ft","fta","ft_percent","orb","drb","trb","ast","stl","blk","tov","pf","pts","x","o_rtg","d_rtg"
"380","Norvel Pelle","C","27","SAC","1","0","4","0.0","12.0",".000","0.0","0.0","","0.0","12.0",".000","36.0","48.0",".750","12.0","0.0","12.0","12.0","0.0","0.0","0.0","12.0","36.0",NA,"145","126"
"380","Norvel Pelle","F-C","27","NYK","1","0","3","0.0","0.0","","0.0","0.0","","0.0","0.0","","16.6","33.3",".500","0.0","49.9","49.9","0.0","0.0","33.3","0.0","0.0","16.6",NA,"123","45"
"381","Reggie Perry","PF","20","BRK","18","0","188","7.7","18.0",".429","1.0","4.9",".211","6.7","13.1",".510","2.1","2.8",".727","5.4","10.3","15.7","3.6","1.0","1.5","3.3","8.5","18.5",NA,"102","112"
"382","Theo Pinson","SG","25","NYK","14","0","31","1.6","14.5",".111","0.0","12.9",".000","1.6","1.6","1.000","0.0","0.0","","0.0","3.2","3.2","1.6","0.0","0.0","1.6","6.4","3.2",NA,"29","115"
"383","Mason Plumlee","C","30","DET","48","48","1310","7.4","12.3",".606","0.0","0.3",".000","7.4","12.0",".619","3.8","5.7",".662","4.7","11.9","16.6","6.4","1.5","1.6","3.5","6.2","18.6",NA,"121","109"
"384","Jakob Poeltl","C","25","SAS","50","32","1291","6.9","11.1",".624","0.0","0.0","","6.9","11.1",".624","1.4","3.3",".404","6.1","8.9","15.1","3.5","1.2","3.0","2.4","4.3","15.2",NA,"121","109"
"385","Vincent Poirier","C","27","PHI","10","0","39","3.7","14.7",".250","0.0","1.2",".000","3.7","13.5",".273","2.5","7.4",".333","7.4","9.8","17.2","2.5","0.0","3.7","4.9","9.8","9.8",NA,"70","106"
"386","Aleksej Pokusevski","PF","19","OKC","32","15","767","5.8","17.3",".336","2.7","9.2",".291","3.1","8.1",".388","1.4","1.6",".846","1.4","8.2","9.6","3.9","0.9","2.1","3.8","2.3","15.7",NA,"83","112"
"387","Jordan Poole","SG","21","GSW","31","6","537","9.7","22.2",".435","4.4","12.6",".352","5.2","9.6",".545","4.3","4.7",".907","0.4","3.7","4.1","4.9","1.0","0.3","2.3","4.2","28.1",NA,"110","115"
"388","Jontay Porter","PF","21","MEM","5","0","19","5.0","17.6",".286","2.5","12.6",".200","2.5","5.0",".500","0.0","0.0","","5.0","17.6","22.6","2.5","5.0","0.0","12.6","15.1","12.6",NA,"54","98"
