"rk","player","pos","age","tm","g","gs","mp","fg","fga","fg_percent","x3p","x3pa","x3p_percent","x2p","x2pa","x2p_percent","ft","fta","ft_percent","orb","drb","trb","ast","stl","blk","tov","pf","pts","x","o_rtg","d_rtg"
"435","Chris Silva","PF","24","TOT","13","0","87","5.7","8.5",".667","0.6","0.6","1.000","5.1","7.9",".643","6.2","8.5",".733","4.0","10.8","14.8","3.4","0.6","2.8","5.7","11.9","18.2",NA,"112","107"
"435","Chris Silva","PF","24","MIA","11","0","83","5.4","7.7",".692","0.6","0.6","1.000","4.8","7.2",".667","6.6","8.9",".733","4.2","10.7","14.9","3.6","0.6","3.0","5.4","11.9","17.9",NA,"116","107"
"435","Chris Silva","PF","24","SAC","2","0","4","12.0","24.0",".500","0.0","0.0","","12.0","24.0",".500","0.0","0.0","","0.0","12.0","12.0","0.0","0.0","0.0","12.0","12.0","24.0",NA,"59","119"
"436","Ben Simmons","PG","24","PHI","44","44","1474","8.2","15.1",".545","0.1","0.3",".333","8.1","14.8",".549","4.9","7.8",".627","2.4","8.8","11.2","10.3","2.3","0.9","5.0","4.4","21.5",NA,"111","106"
"437","Anfernee Simons","SG","21","POR","44","0","727","7.9","19.5",".403","5.7","13.8",".415","2.1","5.7",".376","2.1","2.6",".816","0.5","6.2","6.8","4.2","0.5","0.3","2.2","4.8","23.5",NA,"113","120"
"438","Deividas Sirvydis","SG","20","DET","12","0","26","7.6","22.7",".333","7.6","18.9",".400","0.0","3.8",".000","5.7","7.6",".750","0.0","13.2","13.2","1.9","1.9","0.0","1.9","1.9","28.4",NA,"105","110"
"439","Alen Smailagić","PF","20","GSW","5","1","26","7.2","18.0",".400","3.6","9.0",".400","3.6","9.0",".400","1.8","7.2",".250","3.6","1.8","5.4","0.0","0.0","1.8","0.0","9.0","19.8",NA,"99","117"
"440","Marcus Smart","PG","26","BOS","34","31","1100","6.5","15.8",".410","3.0","8.6",".349","3.5","7.2",".481","4.3","5.4",".795","0.9","3.7","4.6","8.5","2.3","0.8","2.7","3.7","20.2",NA,"117","113"
"441","Dennis Smith Jr.","PG","23","TOT","22","8","401","7.0","17.2",".407","2.3","6.7",".345","4.7","10.4",".447","2.1","2.9",".708","1.5","5.3","6.7","9.1","2.6","1.7","3.1","4.4","18.4",NA,"105","110"
"441","Dennis Smith Jr.","PG","23","NYK","3","0","28","3.6","17.8",".200","0.0","7.1",".000","3.6","10.7",".333","8.9","10.7",".833","0.0","3.6","3.6","5.3","5.3","0.0","1.8","7.1","16.0",NA,"84","103"
"441","Dennis Smith Jr.","PG","23","DET","19","8","373","7.2","17.1",".423","2.5","6.7",".373","4.7","10.4",".456","1.6","2.4",".667","1.6","5.4","7.0","9.4","2.4","1.8","3.2","4.2","18.6",NA,"107","110"
"442","Ish Smith","PG","32","WAS","23","1","467","5.4","14.2",".382","0.6","2.2",".273","4.8","12.1",".402","0.8","1.7",".471","1.1","6.4","7.5","10.3","1.6","0.5","2.5","2.5","12.3",NA,"97","114"
"443","Jalen Smith","PF","20","PHO","17","0","74","6.7","17.4",".385","1.3","6.7",".200","5.3","10.7",".500","0.7","2.0",".333","3.3","7.3","10.7","1.3","0.0","1.3","2.7","6.0","15.4",NA,"85","112"
"444","Tony Snell","SG","29","ATL","40","18","839","4.5","8.6",".517","3.3","5.8",".571","1.2","2.9",".408","0.6","0.6","1.000","0.9","4.6","5.5","3.0","0.5","0.6","1.1","3.6","12.9",NA,"137","118"
"445","Ray Spalding","C","23","HOU","2","0","19","5.0","10.0",".500","0.0","2.5",".000","5.0","7.5",".667","0.0","5.0",".000","5.0","5.0","10.0","0.0","0.0","5.0","7.5","7.5","10.0",NA,"60","112"
"446","Cassius Stanley","SG","21","IND","14","0","38","5.0","22.7",".222","1.3","7.6",".167","3.8","15.1",".250","5.0","6.3",".800","5.0","7.6","12.6","0.0","0.0","2.5","1.3","10.1","16.4",NA,"78","113"
"447","Lamar Stevens","PF","23","CLE","35","0","460","6.3","14.0",".450","0.4","2.7",".160","5.9","11.4",".519","3.7","5.1",".729","2.5","7.4","9.9","2.6","1.7","1.3","2.0","4.9","16.8",NA,"105","112"
"448","Isaiah Stewart","C","19","DET","50","4","984","7.2","12.6",".571","0.5","1.2",".417","6.7","11.4",".588","1.8","2.6",".679","5.5","9.4","14.9","2.1","1.3","2.6","2.3","6.1","16.7",NA,"118","110"
"449","Max Strus","SF","24","MIA","26","0","334","8.4","18.1",".467","5.2","14.5",".357","3.3","3.6",".917","1.6","2.4",".688","0.4","3.3","3.7","1.9","0.7","0.0","0.6","4.3","23.7",NA,"119","115"
"450","Edmond Sumner","SG","25","IND","38","10","523","8.1","15.6",".524","2.0","5.2",".386","6.1","10.3",".593","3.8","4.7",".804","1.2","4.5","5.7","2.5","1.8","0.5","3.1","5.0","22.0",NA,"110","114"
"451","Jae'Sean Tate","SF","25","HOU","52","40","1497","7.2","13.8",".521","1.4","4.4",".321","5.8","9.4",".613","2.3","3.2",".730","3.1","5.6","8.7","3.3","1.8","0.9","2.0","5.1","18.1",NA,"117","113"
"452","Jayson Tatum","SF","22","BOS","47","47","1677","12.9","28.1",".457","4.0","10.4",".382","8.9","17.7",".502","5.6","6.4",".872","1.0","8.7","9.6","5.8","1.7","0.6","3.6","2.6","35.3",NA,"113","112"
"453","Jeff Teague","PG","32","TOT","39","6","706","6.5","14.9",".437","2.0","4.4",".460","4.5","10.5",".428","4.1","4.9",".845","0.7","3.7","4.4","6.4","1.9","0.6","2.9","3.4","19.1",NA,"113","114"
"453","Jeff Teague","PG","32","BOS","34","5","616","6.2","15.0",".415","2.1","4.5",".464","4.1","10.5",".394","4.1","4.9",".836","0.8","3.7","4.5","5.8","2.1","0.6","3.1","3.4","18.5",NA,"108","114"
"453","Jeff Teague","G","32","MIL","5","1","90","8.4","14.1",".593","1.6","3.7",".429","6.8","10.5",".650","4.7","5.2",".900","0.0","3.1","3.1","9.9","0.5","1.0","1.6","3.1","23.0",NA,"147","116"
"454","Garrett Temple","SG","34","CHI","37","12","1002","5.4","12.6",".424","2.2","6.6",".336","3.2","6.1",".520","1.5","1.8",".816","1.0","4.4","5.4","3.5","1.6","0.9","1.7","4.1","14.4",NA,"107","113"
"455","Tyrell Terry","PG","20","DAL","11","0","56","4.4","14.1",".313","0.0","6.2",".000","4.4","7.9",".556","0.9","2.6",".333","0.0","5.3","5.3","5.3","4.4","0.0","1.8","1.8","9.7",NA,"75","108"
"456","Daniel Theis","C","28","TOT","48","37","1152","7.5","13.6",".550","1.5","4.4",".337","6.0","9.2",".653","2.3","3.4",".671","2.6","7.9","10.5","3.3","1.1","2.0","2.0","5.4","18.7",NA,"122","112"
"456","Daniel Theis","C","28","BOS","42","37","1027","7.6","13.7",".552","1.6","4.5",".347","6.0","9.2",".653","2.2","3.2",".687","2.6","7.9","10.5","3.2","1.2","2.1","2.0","5.7","19.0",NA,"123","112"
"456","Daniel Theis","C","28","CHI","6","0","125","6.5","12.3",".531","0.8","3.5",".222","5.8","8.8",".652","2.7","4.6",".583","2.7","8.1","10.7","4.2","0.4","1.9","2.3","3.1","16.5",NA,"115","113"
"457","Brodric Thomas","SG","24","TOT","15","1","153","4.5","14.7",".304","1.6","8.0",".200","2.9","6.7",".429","5.4","6.7",".810","1.0","4.8","5.8","3.8","2.2","1.6","3.2","5.8","16.0",NA,"91","112"
"457","Brodric Thomas","SG","24","HOU","4","0","24","4.0","13.9",".286","2.0","11.9",".167","2.0","2.0","1.000","9.9","13.9",".714","2.0","5.9","7.9","7.9","2.0","2.0","7.9","9.9","19.8",NA,"88","111"
"457","Brodric Thomas","SG","24","CLE","11","1","129","4.6","14.9",".308","1.5","7.3",".211","3.1","7.6",".400","4.6","5.3",".857","0.8","4.6","5.3","3.1","2.3","1.5","2.3","5.0","15.3",NA,"91","112"
"458","Isaiah Thomas","G","31","NOP","2","0","44","8.8","27.5",".320","3.3","13.2",".250","5.5","14.3",".385","2.2","2.2","1.000","0.0","2.2","2.2","5.5","1.1","0.0","5.5","2.2","23.1",NA,"79","120"
"459","Matt Thomas","SG","26","TOT","30","0","224","6.3","16.6",".377","4.1","11.2",".365","2.2","5.4",".400","1.3","1.5",".857","0.9","5.0","5.8","3.0","0.6","0.0","2.2","2.8","17.9",NA,"100","117"
"459","Matt Thomas","SG","26","TOR","26","0","192","6.0","15.6",".387","4.3","10.3",".415","1.8","5.3",".333","1.5","1.8",".857","0.8","4.5","5.3","2.3","0.5","0.0","1.5","2.5","17.8",NA,"106","118"
"459","Matt Thomas","SG","26","UTA","4","0","32","7.6","22.8",".333","3.0","16.7",".182","4.6","6.1",".750","0.0","0.0","","1.5","7.6","9.1","7.6","1.5","0.0","6.1","4.6","18.3",NA,"81","109"
"460","Tristan Thompson","PF","29","BOS","38","31","860","7.0","13.2",".530","0.0","0.2",".000","7.0","13.1",".537","3.1","5.0",".614","6.8","11.3","18.1","2.1","0.8","0.9","2.1","4.6","17.1",NA,"119","112"
"461","Sindarius Thornwell","SG","26","NOP","14","1","73","4.6","13.9",".333","2.0","6.0",".333","2.7","8.0",".333","0.0","1.3",".000","0.7","2.7","3.3","2.7","3.3","0.7","2.7","2.0","11.3",NA,"77","114"
"462","Matisse Thybulle","SG","23","PHI","49","5","936","3.6","8.8",".407","1.6","5.4",".305","1.9","3.4",".567","0.4","0.7",".571","1.2","3.4","4.5","2.4","3.7","2.4","1.0","5.0","9.2",NA,"107","104"
"463","Killian Tillie","C","22","MEM","10","0","86","4.4","16.7",".267","1.7","9.4",".176","2.8","7.2",".385","2.2","2.8",".800","2.8","3.9","6.7","1.1","1.7","2.8","0.6","5.6","12.8",NA,"87","110"
"464","Xavier Tillman Sr.","PF","22","MEM","40","7","745","6.9","13.0",".527","0.8","2.8",".279","6.1","10.3",".594","1.6","2.4",".658","3.3","7.5","10.8","3.6","2.0","1.5","1.9","5.5","16.1",NA,"116","109"
"465","Obi Toppin","PF","22","NYK","43","0","506","7.5","15.5",".484","1.8","6.2",".286","5.7","9.3",".617","1.5","2.0",".750","1.8","7.5","9.3","2.3","1.2","1.1","2.0","4.3","18.3",NA,"108","109"
"466","Juan Toscano-Anderson","SG","27","GSW","35","15","609","4.9","8.8",".557","1.6","3.7",".438","3.3","5.2",".642","1.0","1.4",".722","1.4","8.5","9.9","5.6","1.6","1.2","2.6","5.3","12.5",NA,"117","110"
"467","Axel Toupane","SF","28","MIL","8","1","61","3.1","8.5",".364","0.8","1.5",".500","2.3","7.0",".333","3.9","5.4",".714","0.0","4.6","4.6","3.1","1.5","2.3","0.0","4.6","10.8",NA,"119","111"
"468","Karl-Anthony Towns","C","25","MIN","33","33","1143","12.0","24.4",".492","3.3","8.4",".389","8.7","16.0",".547","6.8","7.7",".877","3.8","11.4","15.2","6.1","1.1","1.9","4.4","4.8","34.1",NA,"116","113"
"469","Gary Trent Jr.","SG","22","TOT","49","31","1529","8.3","20.4",".409","4.5","11.5",".391","3.9","8.9",".434","2.1","2.7",".774","0.7","3.0","3.7","2.2","1.4","0.3","1.2","2.5","23.3",NA,"110","120"
"469","Gary Trent Jr.","SG","22","POR","41","23","1262","8.4","20.3",".414","4.7","11.8",".397","3.7","8.5",".438","2.2","2.9",".773","0.8","2.7","3.5","2.2","1.4","0.2","1.2","2.4","23.7",NA,"112","121"
"469","Gary Trent Jr.","SG","22","TOR","8","8","267","8.1","21.0",".388","3.6","10.1",".357","4.5","10.8",".417","1.3","1.6",".778","0.2","4.2","4.3","2.0","1.3","0.4","1.1","2.7","21.1",NA,"97","116"
"470","P.J. Tucker","PF","35","TOT","35","32","1003","2.3","6.4",".363","1.3","4.3",".311","1.0","2.1",".467","0.9","1.1",".783","1.7","5.6","7.3","2.2","1.4","0.9","1.6","4.4","6.8",NA,"99","114"
"470","P.J. Tucker","PF","35","HOU","32","32","959","2.4","6.5",".366","1.3","4.3",".314","1.0","2.2",".467","0.9","1.1",".783","1.6","5.7","7.3","2.2","1.4","0.9","1.6","4.5","7.0",NA,"99","114"
"470","P.J. Tucker","PF","35","MIL","3","0","44","1.1","4.3",".250","1.1","4.3",".250","0.0","0.0","","0.0","0.0","","3.2","3.2","6.4","1.1","0.0","2.1","0.0","2.1","3.2",NA,"124","116"
"471","Rayjon Tucker","PG","23","PHI","5","0","23","2.1","8.3",".250","2.1","4.2",".500","0.0","4.2",".000","16.6","16.6","1.000","2.1","6.2","8.3","2.1","0.0","0.0","0.0","6.2","22.9",NA,"170","113"
"472","Myles Turner","C","24","IND","46","46","1422","6.9","14.2",".482","2.3","6.8",".338","4.6","7.5",".613","3.6","4.6",".787","2.0","7.9","9.9","1.5","1.3","5.3","2.2","5.5","19.6",NA,"112","107"
"473","Jonas Valančiūnas","C","28","MEM","45","44","1246","11.6","20.5",".566","0.6","1.6",".349","11.0","18.8",".585","4.5","5.8",".770","7.0","14.5","21.5","3.0","1.0","1.2","3.0","5.1","28.3",NA,"122","108"
"474","Denzel Valentine","SG","27","CHI","44","3","791","7.4","19.4",".380","3.8","11.3",".333","3.6","8.2",".444","0.7","0.7","1.000","1.2","8.8","10.0","4.5","1.6","0.1","1.7","2.9","19.2",NA,"102","112"
"475","Jarred Vanderbilt","PF","21","MIN","46","25","792","5.9","9.7",".601","0.1","0.2",".250","5.8","9.5",".610","2.6","4.4",".581","4.2","10.1","14.3","3.5","2.6","1.8","2.6","5.3","14.3",NA,"117","110"
"476","Fred VanVleet","SG","26","TOR","44","44","1601","8.6","21.8",".393","4.4","11.9",".371","4.2","9.9",".419","4.6","5.2",".885","0.8","4.8","5.6","8.1","2.3","1.0","2.6","3.2","26.2",NA,"113","112"
"477","Devin Vassell","SF","20","SAS","43","1","716","5.1","12.9",".400","2.6","6.5",".396","2.6","6.4",".404","1.8","2.1",".871","1.2","7.0","8.2","2.7","2.5","0.8","1.2","4.1","14.7",NA,"108","110"
"478","Gabe Vincent","PG","24","MIA","36","6","509","6.7","18.1",".371","3.2","11.5",".280","3.5","6.6",".529","1.9","2.2",".870","0.7","3.2","3.9","5.2","1.7","0.2","2.6","5.7","18.6",NA,"96","113"
"479","Noah Vonleh","PF","25","BRK","4","0","11","0.0","13.2",".000","0.0","8.8",".000","0.0","4.4",".000","0.0","0.0","","0.0","4.4","4.4","4.4","0.0","0.0","8.8","8.8","0.0",NA,"14","119"
"480","Nikola Vučević","C","30","TOT","52","52","1757","14.1","29.1",".485","3.7","9.0",".407","10.5","20.1",".521","3.0","3.6",".837","2.9","13.7","16.6","5.4","1.3","0.9","2.6","2.7","34.9",NA,"113","110"
"480","Nikola Vučević","C","30","ORL","44","44","1500","14.2","29.5",".480","3.8","9.4",".406","10.4","20.1",".515","3.0","3.6",".827","2.8","14.0","16.8","5.4","1.4","0.9","2.7","2.6","35.1",NA,"112","110"
"480","Nikola Vučević","C","30","CHI","8","8","257","14.0","27.0",".517","3.0","7.3",".410","11.0","19.8",".557","3.2","3.5",".895","3.4","11.9","15.3","5.4","1.1","1.1","2.2","3.4","34.1",NA,"120","110"
"481","Dean Wade","PF","24","CLE","43","10","693","5.5","13.0",".421","3.0","8.6",".347","2.5","4.4",".565","1.1","1.5",".762","1.4","7.4","8.8","3.3","1.1","1.1","1.1","3.5","15.1",NA,"115","113"
"482","Moritz Wagner","C","23","TOT","32","14","429","7.2","14.6",".489","1.6","5.2",".313","5.5","9.4",".586","4.6","5.9",".778","1.7","8.0","9.8","4.0","2.4","0.9","2.9","7.6","20.5",NA,"112","111"
"482","Moritz Wagner","C","23","WAS","25","13","375","7.6","15.0",".508","1.6","5.2",".310","6.0","9.9",".613","5.1","6.4",".788","1.6","7.4","9.0","3.9","2.7","1.0","2.6","7.6","21.9",NA,"116","110"
"482","Moritz Wagner","C","23","BOS","7","1","54","3.6","11.8",".308","1.8","5.4",".333","1.8","6.4",".286","0.9","1.8",".500","2.7","12.7","15.4","4.5","0.0","0.0","5.4","7.3","10.0",NA,"76","114"
"483","Kemba Walker","PG","30","BOS","33","33","1029","9.5","24.0",".397","4.4","12.6",".348","5.1","11.4",".450","4.4","4.7",".939","0.5","5.3","5.8","7.8","1.8","0.4","3.3","2.1","27.9",NA,"110","114"
"484","Lonnie Walker","SG","22","SAS","38","30","985","8.2","19.3",".423","3.1","8.9",".356","5.0","10.4",".481","1.9","2.4",".796","0.4","4.6","5.1","3.1","1.0","0.6","1.9","3.6","21.4",NA,"101","115"
"485","John Wall","PG","30","HOU","33","33","1052","10.9","26.9",".404","3.0","9.3",".322","7.9","17.7",".448","5.8","7.9",".737","0.7","4.3","5.0","10.1","1.7","1.2","4.9","1.8","30.6",NA,"100","114"
"486","Brad Wanamaker","PG","31","TOT","45","0","736","4.9","13.2",".372","1.0","4.6",".222","3.9","8.6",".452","4.0","4.4",".899","0.7","4.2","4.9","7.8","2.0","0.4","3.1","4.3","14.8",NA,"101","113"
"486","Brad Wanamaker","PG","31","GSW","39","0","625","4.6","13.0",".353","1.0","4.6",".213","3.6","8.4",".429","3.7","4.2",".893","0.6","4.3","4.9","7.4","1.9","0.4","2.8","4.1","13.9",NA,"99","113"
"486","Brad Wanamaker","PG","31","CHO","6","0","111","7.0","14.8",".471","1.3","4.8",".273","5.7","10.0",".565","5.2","5.7",".923","1.3","3.0","4.4","10.0","2.6","0.0","4.8","5.2","20.5",NA,"113","114"
"487","T.J. Warren","SF","27","IND","4","4","117","11.0","20.9",".529","0.0","2.9",".000","11.0","18.0",".614","3.3","4.1",".800","0.8","4.9","5.7","2.0","0.8","0.0","1.6","6.5","25.4",NA,"107","116"
"488","P.J. Washington","PF","22","CHO","47","47","1389","6.8","16.0",".426","2.3","6.1",".369","4.6","9.9",".461","3.2","4.0",".791","2.3","8.3","10.6","4.4","1.6","2.1","3.6","4.4","19.1",NA,"102","110"
"489","Yuta Watanabe","SF","26","TOR","33","1","391","4.1","10.9",".375","1.7","5.2",".333","2.3","5.7",".413","1.4","1.7",".786","3.7","8.9","12.6","2.2","1.8","1.8","1.1","3.9","11.2",NA,"110","110"
"490","Tremont Waters","PG","23","BOS","15","1","112","5.3","15.8",".333","2.6","7.4",".353","2.6","8.3",".316","4.8","5.3",".917","1.3","3.1","4.4","14.9","3.5","0.0","5.7","2.6","17.9",NA,"107","112"
"491","Paul Watson","SF","26","TOR","24","0","234","5.2","11.3",".455","4.1","9.1",".455","1.0","2.3",".455","0.4","0.8",".500","0.6","6.6","7.2","2.3","1.0","0.4","1.2","6.4","14.8",NA,"118","115"
"492","Quinndary Weatherspoon","SG","24","SAS","14","0","64","3.8","11.4",".333","0.0","1.5",".000","3.8","9.8",".385","3.8","4.5",".833","1.5","3.0","4.5","3.0","3.8","0.8","6.1","7.6","11.4",NA,"70","109"
"493","Russell Westbrook","PG","32","WAS","44","44","1554","10.8","24.7",".436","1.8","5.6",".319","9.0","19.1",".470","5.1","8.2",".620","2.1","11.8","13.9","14.0","1.6","0.5","6.6","3.6","28.5",NA,"101","111"
"494","Coby White","PG","20","CHI","48","36","1498","8.3","20.2",".411","3.3","9.6",".346","5.0","10.5",".471","2.7","2.9",".902","0.7","6.0","6.7","7.0","0.8","0.3","3.4","4.0","22.6",NA,"104","115"
"495","Derrick White","SG","26","SAS","26","22","760","8.2","20.5",".401","3.6","11.0",".326","4.7","9.6",".487","4.5","5.2",".854","0.4","4.1","4.5","5.5","1.3","1.7","2.4","4.5","24.5",NA,"106","113"
"496","Hassan Whiteside","C","31","SAC","30","1","440","11.2","20.1",".560","0.0","0.1",".000","11.2","20.0",".563","3.9","7.4",".529","5.5","13.9","19.3","1.7","0.8","4.5","3.6","6.0","26.4",NA,"107","111"
"497","Greg Whittington","PF","27","DEN","4","0","12","0.0","12.4",".000","0.0","8.3",".000","0.0","4.1",".000","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",NA,"0","121"
"498","Andrew Wiggins","PF","25","GSW","52","52","1686","9.7","20.6",".472","2.9","7.6",".385","6.8","13.0",".522","3.5","5.1",".690","1.5","5.5","7.0","3.4","1.4","1.4","2.7","3.1","25.9",NA,"106","112"
"499","Grant Williams","PF","22","BOS","45","8","836","4.3","9.9",".435","2.1","5.3",".385","2.2","4.5",".494","1.1","2.1",".528","2.3","5.5","7.7","2.7","1.5","0.9","2.2","7.0","11.7",NA,"106","114"
"500","Kenrich Williams","PF","26","OKC","52","10","1075","7.3","13.5",".541","1.7","3.8",".442","5.6","9.7",".581","1.2","2.0",".565","3.0","6.8","9.8","5.1","1.7","0.5","2.3","4.7","17.5",NA,"118","113"
"501","Lou Williams","PG","34","TOT","48","3","1056","9.9","23.4",".423","2.4","6.2",".394","7.4","17.2",".433","5.2","6.0",".860","0.8","3.9","4.7","7.8","2.0","0.2","3.5","2.2","27.4",NA,"108","113"
"501","Lou Williams","PG","34","LAC","42","3","918","9.8","23.2",".421","2.4","6.4",".378","7.3","16.8",".437","5.6","6.4",".866","0.8","3.9","4.7","7.8","2.1","0.2","3.6","2.3","27.5",NA,"108","113"
"501","Lou Williams","G","34","ATL","6","0","138","10.7","24.6",".435","2.5","4.6",".538","8.2","20.0",".411","2.9","3.6",".800","0.7","3.6","4.3","7.8","1.4","0.4","2.9","1.8","26.8",NA,"107","117"
"502","Patrick Williams","PF","19","CHI","50","50","1428","6.3","13.2",".480","1.4","3.6",".387","5.0","9.7",".514","2.2","2.9",".767","1.6","6.3","8.0","2.2","1.4","1.1","2.3","3.4","16.3",NA,"105","112"
"503","Robert Williams","C","23","BOS","45","8","836","9.3","13.0",".719","0.0","0.1",".000","9.3","12.9",".723","2.5","3.8",".656","6.8","11.5","18.3","4.6","2.2","4.8","2.6","5.6","21.1",NA,"140","104"
"504","Zion Williamson","PF","20","NOP","47","47","1537","15.0","24.3",".617","0.3","0.8",".360","14.7","23.5",".626","9.1","12.9",".706","3.8","6.7","10.6","5.4","1.4","0.9","3.7","3.3","39.3",NA,"127","116"
"505","D.J. Wilson","PF","24","TOT","23","0","239","7.1","17.4",".409","3.8","10.1",".373","3.4","7.3",".459","1.4","2.0",".700","1.8","10.3","12.1","2.0","0.8","2.4","2.6","5.9","19.4",NA,"100","110"
"505","D.J. Wilson","PF","24","MIL","12","0","105","7.2","19.3",".372","4.5","12.6",".357","2.7","6.7",".400","0.4","0.9",".500","1.3","9.9","11.2","1.3","0.4","1.8","1.8","5.8","19.3",NA,"97","111"
"505","D.J. Wilson","PF","24","HOU","11","0","134","7.1","16.0",".444","3.2","8.2",".391","3.9","7.8",".500","2.1","2.8",".750","2.1","10.6","12.8","2.5","1.1","2.8","3.2","6.0","19.5",NA,"102","109"
"506","Dylan Windler","SF","24","CLE","31","0","513","5.5","12.5",".438","2.5","7.4",".338","3.0","5.1",".585","2.0","2.6",".778","1.9","8.4","10.3","3.2","1.8","1.2","3.1","3.6","15.5",NA,"103","111"
"507","Justise Winslow","SF","24","MEM","16","0","337","7.1","20.7",".342","0.7","5.8",".122","6.4","14.9",".429","1.3","2.3",".563","1.8","9.1","10.9","4.0","1.7","1.0","3.5","4.5","16.1",NA,"77","109"
"508","Cassius Winston","PG","22","WAS","14","0","78","5.3","13.0",".409","4.1","7.7",".538","1.2","5.3",".222","2.4","2.4","1.000","0.0","4.1","4.1","5.9","1.2","0.6","0.6","4.1","17.2",NA,"131","116"
"509","James Wiseman","C","19","GSW","38","26","830","10.6","20.5",".518","0.7","2.1",".316","9.9","18.3",".542","3.0","4.7",".643","3.1","9.6","12.7","1.5","0.6","2.0","3.4","6.8","24.9",NA,"99","110"
"510","Christian Wood","C","25","HOU","29","29","915","12.2","23.2",".527","2.6","7.0",".378","9.6","16.2",".592","4.6","7.2",".640","2.4","11.6","14.1","2.2","1.3","2.0","2.5","3.0","31.7",NA,"112","109"
"511","Robert Woodard","SF","21","SAC","11","0","29","11.6","23.2",".500","1.7","6.6",".250","9.9","16.6",".600","5.0","13.2",".375","5.0","13.2","18.2","0.0","0.0","3.3","1.7","3.3","29.8",NA,"103","115"
"512","Delon Wright","SG-PG","28","TOT","43","31","1200","6.3","13.8",".456","1.5","4.3",".349","4.8","9.5",".504","3.4","4.2",".806","1.8","5.8","7.6","8.0","2.6","0.8","2.2","2.0","17.5",NA,"119","112"
"512","Delon Wright","SG","28","DET","36","31","1052","6.4","13.7",".464","1.4","4.2",".348","4.9","9.5",".515","3.3","4.2",".789","1.7","5.9","7.7","8.5","2.7","0.9","2.2","2.1","17.5",NA,"119","111"
"512","Delon Wright","PG","28","SAC","7","0","148","5.8","14.6",".400","1.9","5.5",".353","3.9","9.1",".429","3.9","4.2",".923","1.9","5.2","7.1","4.9","1.9","0.0","1.6","1.3","17.5",NA,"115","119"
"513","Thaddeus Young","PF","32","CHI","47","14","1178","10.7","18.3",".582","0.2","1.0",".240","10.4","17.3",".602","2.0","3.1",".623","4.7","7.6","12.4","8.3","2.3","1.1","3.8","4.8","23.5",NA,"119","110"
"514","Trae Young","PG","22","ATL","50","50","1714","11.1","25.6",".435","3.4","9.3",".361","7.8","16.3",".478","10.9","12.5",".867","0.9","4.8","5.7","13.6","1.2","0.3","6.1","2.8","36.5",NA,"117","116"
"515","Cody Zeller","C","28","CHO","32","20","693","8.5","15.9",".535","0.2","1.5",".136","8.3","14.4",".578","3.6","5.0",".708","6.1","10.2","16.3","4.6","1.6","1.0","2.1","5.2","20.8",NA,"123","110"
"516","Ivica Zubac","C","23","LAC","54","15","1176","7.7","12.0",".642","0.0","0.1",".000","7.7","11.9",".649","4.3","5.2",".821","6.1","10.3","16.4","2.4","0.9","2.0","2.4","5.9","19.7",NA,"136","110"
